id;brand;card_type;card_number;expiration_date;cvv;last_four_digits;bank
1;Myanmar Forward feed;invoice Computers application;34015;2021-07-14T11:52:21;56677;81326;synthesize International Senior
2;Ridge;generating Manager innovate;40354;2021-07-13T16:40:45;24080;2082;human-resource Sausages Associate
3;Borders Industrial;Toys;24688;2021-07-14T04:24:55;77410;29921;discrete SDD Multi-lateral
4;Sports;up violet;6404;2021-07-13T14:26:21;70449;11622;dot-com mindshare
5;even-keeled deliverables;Account quantify;78094;2021-07-13T21:24:00;9264;68043;invoice
6;primary;Metal bifurcated;58269;2021-07-14T01:02:47;56257;77978;motivating technologies value-added
7;Concrete;Plastic;39262;2021-07-13T19:34:46;5780;54286;convergence SMTP
8;interactive bluetooth;Money;68636;2021-07-14T10:16:47;36760;68990;Buckinghamshire Dollar
9;Supervisor;Shirt;24265;2021-07-14T02:38:11;62306;19776;Bedfordshire
10;solutions;Kansas;28405;2021-07-14T07:45:57;96343;16893;Steel navigating
