id;cust_id_type_one;cust_id_ref_one;cust_id_type_two;cust_id_ref_two;credit_card_number;credit_profile_data;credit_risk_rating;credit_risk_rating_desc;credit_score;valid_until
1;Rubber Metal Namibia;Utah out-of-the-box parallelism;exuding;scale Right-sized synthesizing;89433;2021-07-14T09:26:23;bus integrate;Cotton Regional;18909;2021-07-14T04:09:46
2;Director Pizza;Keyboard Buckinghamshire;Architect Senior;Human payment backing;28335;2021-07-14T06:32:13;RAM Market;Planner Plastic;5159;2021-07-13T20:24:31
3;District;Pants infrastructures Granite;Card Pula turquoise;Cotton Fresh;39;2021-07-13T13:32:52;Administrator;Soap deposit Soap;86982;2021-07-13T21:59:55
4;Cotton;orange;Tactics;turquoise compressing;76713;2021-07-14T06:56:00;Swiss;indigo Personal;87023;2021-07-14T09:34:08
5;connecting;Dynamic;orange local Track;circuit Baht payment;62690;2021-07-14T09:36:00;Cambridgeshire Bermudian;copy Cambridgeshire;60327;2021-07-14T09:30:57
6;National Advanced;yellow Advanced Principal;optimize open-source matrix;Chicken;90228;2021-07-13T13:44:07;Papua array Internal;grid-enabled index capacitor;17218;2021-07-13T20:49:52
7;hacking;Benin Technician;Checking violet;Egypt bypassing Bedfordshire;51828;2021-07-14T12:14:54;fresh-thinking Chief;Bedfordshire orchestrate Plastic;13791;2021-07-14T06:23:30
8;Grocery Berkshire transmitting;Chief Automotive Factors;Music;copying Indian Bedfordshire;21536;2021-07-14T12:31:49;haptic;Shoes;39923;2021-07-14T03:54:55
9;neural;firewall Bedfordshire;extend;mobile;21510;2021-07-13T17:55:04;Movies;interface Wooden;86981;2021-07-14T00:20:35
10;quantify parse;multi-byte withdrawal;Steel;calculating Points Business-focused;43250;2021-07-13T14:10:11;Granite Rubber SMTP;Pennsylvania Analyst compressing;21542;2021-07-14T09:10:42
