id;type;street_one;street_two;city;state_or_province;country;post_code;phone_number;email_address;fax_number;latitude;longitude;sv_contact_id;is_email_valid;is_address_valid
1;Frozen;SDD;Regional;New Gust;Division Shoes portals;Burkina Faso;28331;63348;Computer Programmable;34275;59157;38748;98690;true;true
2;Dinar ivory Bedfordshire;infomediaries Generic Intranet;Sports Pound hardware;Cassinville;Rapids Integrated;Chile;54940;65287;transparent Practical;8737;70930;81269;12447;false;false
3;emulation Springs;compress Electronics Colorado;override;Lake Davionport;array;Bangladesh;3951;75239;Program integrate;95775;27529;25184;67982;false;false
4;Director core;Beauty;asymmetric SMS;West Haileystad;middleware Bike;India;72125;52840;Keyboard;85996;25464;48950;39166;false;true
5;calculating;Drive Granite;Green Benin;Baileychester;Sausages Implemented;Swaziland;81450;25220;Cross-platform Designer Coordinator;11837;55403;89066;82271;false;false
6;RAM;Steel;1080p;Lonnieborough;Assistant Markets deposit;Slovakia (Slovak Republic);44673;85701;copy;78133;45536;77422;25949;true;false
7;Soft;models connecting Peso;Shoes Belarus withdrawal;Dillanberg;invoice;Guinea-Bissau;98894;57766;Bedfordshire Ecuador engineer;58534;60905;51869;18065;true;false
8;zero;Cotton paradigm Bahraini;Developer Tasty;Hilmafort;Iowa unleash;Armenia;99044;62450;cross-platform Fresh;131;38271;76308;10379;true;true
9;target;supply-chains IB hacking;calculate ubiquitous Account;Minot;Rustic relationships;Ukraine;89981;43302;Towels coherent;94500;41637;65903;96080;false;true
10;Bedfordshire Branch;quantifying Music;Account mobile;West Wadeborough;withdrawal Chicken B2C;Kyrgyz Republic;26833;29268;azure Fish Rubber;80633;40599;19692;23434;true;true
